locationString,EndLocationString,Start,End,ips,UAs,timestamp
CN/Gansu,SA/Ar Riyad,2022-11-26T00:53:00.3032334Z,2022-11-26T00:54:30.0403753Z,"[""61.178.57.40""]","[""BAV2ROPC""]",2022-11-26T00:53:00.3032334Z
CN/Shanghai Shi,SA/Ar Riyad,2022-11-26T00:54:05.6248227Z,2022-11-26T00:54:30.0403753Z,"[""101.230.117.34""]","[""BAV2ROPC""]",2022-11-26T00:54:05.6248227Z
SA/Ar Riyad,CN/Shanxi,2022-11-26T00:54:30.0403753Z,2022-11-26T00:55:30.8521315Z,"[""185.54.146.131""]","[""BAV2ROPC""]",2022-11-26T00:54:30.0403753Z
CL/Region Metropolitana,CN/Shanxi,2022-11-26T00:54:59.5725055Z,2022-11-26T00:55:30.8521315Z,"[""186.148.211.115""]","[""BAV2ROPC""]",2022-11-26T00:54:59.5725055Z
PK/Punjab,AU/New South Wales,2022-11-26T01:21:30.2610273Z,2022-11-26T01:30:20.2158068Z,"[""103.131.8.193""]","[""BAV2ROPC""]",2022-11-26T01:21:30.2610273Z
PT/Lisboa,IN/Karnataka,2022-11-26T01:21:48.3989228Z,2022-11-26T01:22:28.0653762Z,"[""148.71.33.24""]","[""BAV2ROPC""]",2022-11-26T01:21:48.3989228Z
IN/Karnataka,US/Alabama,2022-11-26T01:22:22.5324324Z,2022-11-26T01:23:39.2068913Z,"[""122.166.249.154""]","[""BAV2ROPC""]",2022-11-26T01:22:22.5324324Z
TW/New Taipei,KR/Jeollabuk-Do,2022-11-26T01:22:29.4157660Z,2022-11-26T01:23:24.1738427Z,"[""110.25.99.28""]","[""BAV2ROPC""]",2022-11-26T01:22:29.4157660Z
CN/Shandong,US/Alabama,2022-11-26T01:23:09.5155970Z,2022-11-26T01:23:39.2068913Z,"[""112.36.27.23""]","[""BAV2ROPC""]",2022-11-26T01:23:09.5155970Z
KR/Jeollabuk-Do,CN/Shandong,2022-11-26T01:23:18.8986682Z,2022-11-26T01:23:19.9790664Z,"[""59.1.100.37""]","[""BAV2ROPC""]",2022-11-26T01:23:18.8986682Z
