IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
DomainName,bill.microsoftbuys.com,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,dnsupdate.dns2.us,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,intelupdate.dns1.us,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,winupdate.ns02.us,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,icta.worldmessg.com,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,Infoafrica.top,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,szsz.pmdskm.top,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,pmdskm.top,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,freedns02.dns2.us,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
DomainName,web.vpnkerio.com,,Block,Informational,Backdoor Diplomacy APT IOC,"Backdoor Diplomacy, an APT group is reportedly active in cyberspace. Recent campaign activities attribute the attacks are initiated via exploiting vulnerable internet-exposed applications on webservers. Post successful implementation a custom backdoor Turian is installed on the targeted system. The backdoor reportedly has similarities with Quarian Backdoor.The operators are reportedly targeting removable media for data collection",Blocked execition. No action required.,,APT,,FALSE
