IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
FileSha256,01403392FD0F735DA91D16B6EA1926F79F4BECBA7B0CF2C0CD05E33C946BDC24,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,08C1DB6806ADB46801B710371CF14292F7EBDBE583AE2AED8B8F2A48922A5210,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,091419119883706BADE822823139C8E1B6E32F34535B7FA38BFEDE474E9CC213,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,09849775796A3487F889CE5FC9A0906DBA851660A70E70CF41D75A270416AED7,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,0C15423E9F6A14DAD4085732D32C895D7B540067F6279BA32A97868608D649B4,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,0D04955B555667254D874E36A871FF0DCE2CBB8A356C74D54CDFADA5F72B74AC,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,0D6345CA88BA0F43E3C3016E39364F2EAE75938FFD225C59BB711DB172592C24,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,0FB57247173A9890753EC628B24725061E54A17EC8E40972DD19DC936144EE23,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,134860F8193313CA0E660C518F1B4D86FB7B26377CBD425209A4FA65F9F127D4,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,136537BF894049C6B8828A061FB9A0CCA08B41125673C719F73867AC1356A3DA,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
FileSha256,13EF67F1D0DFA844A530F71AB2BD25CE2C25DF166D644A82AA3135814A571520,,BlockAndRemediate,Informational,Crackonosh Malware TI,A fresh malware family Crackonosh is targeting users to deploy cryptomining tool on the compromised devices. The variant is distributed via cracked or pirated versions of software. It disables antivirus programs as part of its anti-detection tactics. The basic intent of the campaign is to deploy XMRig miner on the targeted device. XMRig is known for mining cryptocurrency by hijacking the resources of the compromised machine.,,,,,FALSE
