IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Category,Description,RecommendedActions
IpAddress,186.4.172.5,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,201.212.57.109,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,104.131.11.150,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,178.32.255.133,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,93.78.205.196,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,176.58.93.123,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,104.131.58.132,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,216.154.222.52,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,89.188.124.145,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,179.62.18.56,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,143.0.245.169,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,190.92.103.7,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,159.65.241.220,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,203.130.0.67,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,151.80.142.33,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,185.187.198.4,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,186.4.172.5,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,181.230.126.152,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,201.250.11.236,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,182.76.6.2,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,179.12.170.88,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,104.236.185.25,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,190.104.64.197,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,187.155.233.46,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,198.199.88.162,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,181.36.42.205,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,94.205.247.10,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,128.199.78.227,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,162.144.119.216,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,85.105.215.241,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,162.243.125.212,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,190.195.129.227,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,190.220.69.69,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,217.113.27.158,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,142.93.88.16,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,190.117.206.153,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,200.123.150.89,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,104.131.208.175,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,88.215.2.29,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,86.98.25.30,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,200.21.90.6,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,94.177.253.126,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,190.13.146.47,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,91.92.191.134,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,139.59.242.76,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,59.152.93.46,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,185.129.92.210,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,79.127.57.42,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,181.81.143.108,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,69.43.168.232,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,70.45.30.28,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,190.10.194.42,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,190.200.64.180,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,178.254.6.27,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,78.109.34.178,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,92.222.125.16,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
IpAddress,198.199.106.229,,AlertAndBlock,High,EMOTET IP IOC,0,malware downloader,Wipe machine to eradicate threat.
