IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Category,Description,RecommendedActions
Url,http://chuquanla.com/wp-admin/yj0m83mwqum88_bawcxx-778059512/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.navenpsicologosgetafe.es/rky/Document/UYLLUuvgnqJoWnaaNFyOIgOowzfoF/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://parsafanco.com/wp-includes/LLC/JquDHKGxHWdCOZyCDnOFbqV/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://iib123.com/wp-content/IdeltfyWjNcYSVqkuAiE/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://tokobajuaisyah.com/wp-admin/Document/3oj0as49yc0_kzoljo2-666116415797/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.haosanwang.com.tw/wp-admin/parts_service/WnrlrAIEtMJoStdWcCGmuCAwr/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://chinapacific.co.nz/wp-includes/65300760429/pePzhQzJwkSF/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.rebel.ae/wp-content/uploads/SXqzXzXJlMA/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://vaner.com.sg/oV4c/DOC/TnNeCqcAazSDRechLcktfNwEts/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.situsjudimurah.com/wp-admin/Q1HZVMVATQ/VjliXWJED/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://i-conglomerates.com/8lfx0jn/FILE/SbdnUMybkqDczUjFVe/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.greenedus.com/wp-admin/INC/xt8k0pmlpur1m6et0k1rxu2uhpvq_kyod1h3ilt-856462386/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.parsroman.ir/wp-content/uploads/esp/cGtSbFlnVrnYuUryCtkiN/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://revival-remaps.co.uk/cgi-bin/sVHJyHPDwzqLMzfnoJ/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://sunchipaint.com.vn/wp-admin/Document/dawb84xl_piuu2as-9919296896/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://kisharzoni.ir/ticket_pdf/esp/jxxp1ai5ump_4jl99a-12961913/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://hippbeta.000webhostapp.com/wp-includes/2a3o32vc_0vgiahna-2842418253/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://canvas.printageous.com/wp-content/076078269892824/qUNEclMstuy/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://maxtraderpro.com/wp-admin/sites/qzjlpDcXeBRLfWRuOwST/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://cornelbusiness.co.uk/wp-admin/lm/5d52j0bgyi56_1me1ype6-540328838/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.mobiextend.com/New_website/Scan/yfquir5sn1saa4_cbgkyi7q-659756898154868/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.mohsinsaeedulhaq.com/wp-admin/LLC/bttzsqzx0nt9junnyco5_hf4vzf94-70374427/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://safarnavade.ir/wp-admin/LLC/WurQUKCLhrrBzzndHpdtzovqyzoJ/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://iewa.sk/wp-admin/parts_service/IlqQtXxoNtkdkiojakcdH/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://comicxy.club/wp-admin/esp/YkYcMaPIjSGXJSHnvJuaPPw/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://blnautoclub.ro/wp-admin/LLC/yPHOKncKuBeunjIjOOqSFnOYv/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://osim-heshbon.co.il/wp-content/INC/jvomtsl6xgzmv3ujubnv6an_l5yypu-6443077366234/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://trulykomal.com/trulykomal[.]com/76502345306739016/HzQDdtdgnxnADtwpmU/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://democuk.tk/jackpanel/Scan/xFZeztmrOpccx/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://dp4kb.magelangkota.go.id/wp-content/06p3718rkrxzs_g2kh6r8-21436938/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.lamaggiora.it/wp-admin/EthefHjblbolQqV/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://unlimit517.co.jp/Taku-tokusenkabe/0807523448/OOZlqukGqjbBZcQRADfbjikhN/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://rpaconsultores.cl/filtromet/Pages/o43fphlp82_xrvfhr3-552085630/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://stayfitphysio.ca/wp-content/FILE/cjcGNbjWiBAsCE/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://phongchitt.com/IRS-Tax-Transcipts-013I/1/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://dyingtoachieve.com/t10p/rohl4eo515ei8b4ogccm21kj0o9skc_alqvilskl-743113193059697/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://v7gfx.de/20160310duerr0109/LLC/qrBbknnseecObTwT/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://hawk-lines.com/backup/sites/sZYEsnWaux/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://alcam.ch/hochzeit/NGFxaEktFlrfCKu/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://tys-yokohama.co.jp/FCKeditor/9525092916798083/t4dudkr9ty2whnr_xq2buif1-35425791/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://joshgeneralremodeling.us/educarni[.]com/72izopqq_db5m8g-4856039954/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.anysbergbiltong.co.za/48f5ce/Abierto-Pasado-Vencimiento-Pedidos/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://aivaelectric.com/dup-installer/DOC/rv201ul6ik_b6bvwp-89755135449551/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.cgi.org.ar/web/paclm/ZfzNFnuhdj/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
