IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
FileSha256,AB3E9F65C60C1760AFC99629CAEE7FAB8DBA117A16A7F9F843EC43617E824B0D,,BlockAndRemediate,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",,,,,FALSE
FileSha256,D333E9E1AD8992411A7514592C80A52773F46A392A87C2E75B9E33F0E763A675,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
FileSha256,482BD7805E55ECECC78CCF6678787A48AEDFC0895B0F2F0B0D698377796296BF,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
FileSha256,CDE91A191D3615D097A9398D4CB7E559F972E4D3676AA22C390CF85F6F80DCCF,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
FileSha256,88E50E7F9C6B36278AE938D0F335830EB877E18CACB6E2A26BA9C5FFCB646465,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
FileSha256,AF0F028659B6DE3226AF909531BA1B149E271006A8A6A14764143310E90EDCC8,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
FileSha256,A0B7D14E7052DFC2C9023337C09B85FCF38FB15FBB09A32D7803A814C6804F84,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
FileSha256,D723B7C150427A83D8A08DC613F68675690FA0F5B10287B078F7E8D50D1A363F,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
FileSha256,58814ACC25DA6CB263B719B6EB8617B78F04FF167BF71915DC9DF9A1581634D0,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
FileSha256,EB8DA430E009A0980D0627EAFAF3D11DB62FF47208D496D41A77F3CB9A59640D,,BlockAndRemediate,Informational,Facefish Backdoor IOC,"A new malware variant, dubbed “Facefish,” was observed targeting Linux-based systems to steal user login credentials, device information, and execute arbitrary commands. The Facefish malware has two parts, a Dropper and Rootkit, and its main function is determined by the Rootkit module. Facefish runs a multi-stage infection process which begins with a command injection against Control Web Panel(CWP) to retrieve a dropper “sshins”",,,,,FALSE
