IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
DomainName,download.riseknite.life,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,onedrive-upload.ikpoo.cf,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,alps.travelmountain.ml,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,texts.letterpaper.press,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,accounts.goggle.hol.es/MyAccount,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,myaccount.google.newkda.com/signin,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,myaccount.google.newkda.com/signin,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,myaccount.google.nkaac.net/signin,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,myaccounts-gmail.autho.co/signin,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
DomainName,myaccounts-gmail.kr-infos.com/signin,,Block,Informational,Kimsuky APT IOC,"North Korea based APT group Kimsuky(also known as Thallium and Velvet Chollima) is reportedly prevalent in cyberspace. The threat actor is reportedly utilizing  a new variant of malware dubbed AppleSeed to target users.
The basic intent of the campaign is cyberespionage operation to target victims. The attack process is initiated by setting up phishing infrastructure that imitate web services with the goal of collecting email addresses to send spearphishing emails. ",Blocked execition. No action required.,,APT,,FALSE
