IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
FileSha256,b9adc1433ef7c6fee4d36f73b79744ad611d51a8e039d4c384dd453e33452d0f,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,e0fc2cf31a0fd7f4bfa1ba453fd8f272784330de2ecba80104455252a931789b,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,cab5fa13c8239e97c15b04b27f9b70fb8b561d31935af7b0680bb80aec12c813,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,1E629FE7C8911A9ADBDE2E35AF4F6F9E60EE538638C82EDBCBD7CCE5AD2FF4AB,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,951b09c559fdc1c447f3dc63870b5244c2b715d728e1318a62db64bc17dcb85d,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,f76f1657205d7042fccfc811077bbada92c0fef735f158da35e7825da1cc6bec,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,9b7615b4c2c6ebdd283afb1dae4d951b7ef928939b98ffbe7dea49cc5c5eee02,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,36AFA5B3133667F2577687B3E83D7F6C009DD65864C20A408D860B3C6678DF2A,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,5009F65E7A8D84A9955D5ADBDB86107B15304B1061BDABA5DD2AC2293DD8E6CB,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
FileSha256,2AEEF18ABF22B233DE5515A95CDCA5AA3CBC6C21E8D2F83A68214E7272F9D947,,BlockAndRemediate,Informational,MUSTANG PANDA IOC,A suspected Chinese state-sponsored threat activity group Mustang Panda (also known as Honeymyte and Bronze President) is in surge for its malicious campaign. The threat group is reportedly updating its attack mechanism. Recent attack activities attribute compromise attempted to lure targeted users into downloading a font package containing a malicious Cobalt Strike loader. It is reportedly targeting users via spearphishing attempts.,,,,,FALSE
