IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
FileSha256,132870A1AE6A0BDECAA52C03CFE97A47DF8786F148FA8CA113AC2A8D59E3624A,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,F5432E3A4184BAF3957035DED89916310F3A7F791B3BCF3E2E92C3DBA4682D26,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,18F53A353621376C9DDC610A8C916E582C69AA799FC6AB2FF5BD146E9ECEFBE1,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,A81320C292E46C9FBC7B78D18FB6ABAC8942FB3D58B5C6A981124B7285B8057F,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,97D11300DB988149C55CEC545F94154012A23639A58A1417D729336EE9F0566A,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,4D6488A7DB35E0447F6FE44E94F26773CF8666C7071EC27257DAECA7BD72BAB1,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,3792B7164D2FE867676FAB62CB59181740BD718DC8D27A3E49D70F1836D71A6A,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,BFB1A64CD9ADE52E9234D28E6F88DFDCA1FDF95A109E28566EBC71193146630D,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,160751016ECE292CD8E0121FF64876622C2FC0E0333F05ABE07215B3F61146D3,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,E674A4A89993B78894F69D700FB56E16039245C3760F85EDE24D5F8716757F2D,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,F6394588DC632ACD4D0298E422066FFC1420E98C3FEC0FF74DB3D3F1D53E2D36,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,ECE2FE4436DE707845F0D3B7CAE5B197EDD9834C88A04F68C3816EC7CE5DDEE0,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,0AC487DF8D9D4C3259317AE51A1DCD4424BA9440AEBB721DB267503A7D56B175,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
FileSha256,B0378CCF395CF396AD7573D1E053EE68ECDA994C9C44B960FB277BDC9E36BDE4,,BlockAndRemediate,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector.,,,,,FALSE
