IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,p1v12.17nor.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,q908q.refec7.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,kjlvo.ningeona.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,0q5e0.nemen9.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,4343w.jgu0.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,pmd8ot6xhw.3qjpc.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,8000n.uqin.ru,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,xva.tjlpkcia.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,zaqaxu.dthiterp.ru,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,buneji.fiernmar.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,gz238.uatimin.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,libudi.oreversa.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,x12y.restrice.ru,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,8uecv.gnornamb.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,roriku.orankfix.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
