IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
FileSha256,f4dd44bc19c19056794d29151a5b1bb76afd502388622e24c863a8494af147dd,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,ef09b8ff86c276e9b475a6ae6b54f08ed77e09e169f7fc0872eb1d427ee27d31,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,d6ebde42457fe4b2a927ce53fc36f465f0000da931cfab9b79a36083e914ceca,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,472ccfb865c81704562ea95870f60c08ef00bcd2ca1d7f09352398c05be5d05d,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,66a19f7d2547a8a85cee7a62d0b6114fd31afdee090bd43f36b89470238393d7,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,3c2fe308c0a563e06263bbacf793bbe9b2259d795fcc36b953793a7e499e7f71,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,41e5181b9553bbe33d91ee204fe1d2ca321ac123f9147bb475c0ed32f9488597,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,c7fee7a3ffaf0732f42d89c4399cbff219459ae04a81fc6eff7050d53bd69b99,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,3a9d8bb85fbcfe92bae79d5ab18e4bca9eaf36cea70086e8d1ab85336c83945f,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
FileSha256,fe95a382b4f879830e2666473d662a24b34fccf34b6b3505ee1b62b32adafa15,,Block,High,Volt Typhoon Chinese APT TI,"Activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and other sectors worldwide. Advisory located here: https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF",Ada blocked. Change users password and re-set MFA immediately. Check machine for remenants. Redeploy device if present.,,Discovery,"T1190,T1047,T1059.001,T1059.003,T1505.003,T1546,T1070.001,T1003.003,T1110,T1110.003,T1003,T1555,T1082,T1033,T1069.001,T1069.002,T1016,T1090,T1090.002",TRUE
